r,E_true,S_target
0.05,-17.964946412691994,-0.8982473206345998
0.07989949748743719,-17.910892068597473,-1.4310712758326625
0.10979899497487439,-17.8328232270168,-1.9580260678910408
0.13969849246231159,-17.73168196086668,-2.4770892387542403
0.16959798994974876,-17.60865636258555,-2.986392724810363
0.19949748743718593,-17.46514326003979,-3.48425219810844
0.22939698492462313,-17.30270665114616,-3.9691887368081518
0.2592964824120603,-17.123034123093433,-4.439942516339805
0.2891959798994975,-16.92789340538428,-4.895478721004348
0.31909547738693467,-16.71909093739316,-5.334986304143044
0.34899497487437187,-16.498433959138964,-5.7578705450361864
0.37889447236180906,-16.267697210411583,-6.16374055108057
0.40879396984924626,-16.02859489599982,-6.552392938641133
0.43869346733668346,-15.782758181751175,-6.9237929108888325
0.4685929648241206,-15.531718153610353,-7.278053858412892
0.4984924623115578,-15.27689391336753,-7.615416463347031
0.528391959798995,-15.019585303621543,-7.93622811394877
0.5582914572864323,-14.760969645347831,-8.240923254262032
0.5881909547738694,-14.502101824163448,-8.530005118182572
0.6180904522613067,-14.243917063047192,-8.804029139471382
0.6479899497487438,-13.98723575659399,-9.063588195039172
0.677889447236181,-13.732769802561158,-9.309299730479903
0.7077889447236182,-13.481129940064196,-9.541794733960012
0.7376884422110553,-13.232833682081404,-9.761708464972614
0.7675879396984926,-12.988313506918653,-9.969672804933792
0.7974874371859297,-12.74792504493973,-10.166310073527313
0.827386934673367,-12.511955060795552,-10.352228144522552
0.8572864321608041,-12.280629086468911,-10.528016694229128
0.8871859296482413,-12.054118606489624,-10.69424442198866
0.9170854271356785,-11.832547734083379,-10.85145709281516
0.9469849246231157,-11.615999346583962,-11.000176265646974
0.9768844221105529,-11.404520671140428,-11.140898585274872
1.00678391959799,-11.198128328624547,-11.27409553085391
1.036683417085427,-10.99681285569871,-11.400213528294692
1.0665829145728645,-10.80054273316983,-11.51967434731305
1.0964824120603016,-10.609267953852418,-11.63287571623416
1.1263819095477388,-10.42292316589867,-11.740192098674306
1.1562814070351761,-10.24143042851349,-11.841975585934446
1.1861809045226133,-10.064701616638693,-11.938556867374693
1.2160804020100504,-9.892640509947539,-12.030246248277912
1.2459798994974876,-9.725144599640684,-12.117334690858833
1.2758793969849247,-9.562106644309424,-12.200094859247049
1.305778894472362,-9.403416003707147,-12.278782153584435
1.3356783919597992,-9.248959776774543,-12.353635721943084
1.3655778894472363,-9.098623767790084,-12.424879441693244
1.3954773869346735,-8.952293302129055,-12.492722864327833
1.4253768844221106,-8.809853910853459,-12.55736211966625
1.455276381909548,-8.671191901246935,-12.618980776890014
1.4851758793969851,-8.53619482846631,-12.67775066107145
1.5150753768844223,-8.404751881708853,-12.733832624800097
1.5449748743718594,-8.276754196689545,-12.78737727523719
1.5748743718592966,-8.152095104779335,-12.838525657476602
1.604773869346734,-8.0306703278644,-12.887409895494956
1.634673366834171,-7.9123781268372175,-12.934153792262046
1.6645728643216082,-7.797119410611305,-12.97887339077887
1.6944723618090454,-7.684797811651128,-13.02167749793347
1.7243718592964825,-7.575319733215655,-13.062668173130412
1.7542713567839199,-7.468594372817172,-13.10194118367073
1.784170854271357,-7.364533725786307,-13.139586428846375
1.8140703517587942,-7.263052572299938,-13.175688334674764
1.8439698492462313,-7.16406845076229,-13.210326221141822
1.8738693467336685,-7.067501620023013,-13.243574643751668
1.9037688442211058,-6.973275012562264,-13.275503711101578
1.933668341708543,-6.881314180465399,-13.306179380116008
1.96356783919598,-6.791547235743137,-13.335663730485582
1.9934673366834172,-6.703904786321832,-13.364015219768197
2.0233668341708544,-6.618319868828381,-13.391288920521346
2.0532663316582913,-6.534727879121251,-13.417536740748456
2.0831658291457287,-6.453066501369766,-13.442807628858475
2.113065326633166,-6.373275636354962,-13.467147764257597
2.142964824120603,-6.295297329554348,-13.490600734615334
2.1728643216080403,-6.21907569947756,-13.513207700774357
2.2027638190954772,-6.144556866637919,-13.535007550204682
2.2326633165829146,-6.071688883474689,-13.556037039838213
2.262562814070352,-6.0004216654806815,-13.57633092905868
2.292462311557789,-5.93070692373856,-13.595922103565483
2.3223618090452263,-5.8624980990253475,-13.614841690776705
2.352261306532663,-5.795750297607474,-13.633119167387228
2.3821608040201006,-5.730420228817133,-13.65078245965207
2.412060301507538,-5.666466144474001,-13.667858036922215
2.441959798994975,-5.603847780193945,-13.684370998920842
2.471859296482412,-5.542526298607445,-13.700345157211068
2.501758793969849,-5.482464234494761,-13.715803111272445
2.5316582914572865,-5.423625441831802,-13.73076631957217
2.561557788944724,-5.365975042729879,-13.745255165987718
2.591457286432161,-5.309479378243755,-13.759289021911078
2.621356783919598,-5.2541059610152825,-13.77288630433981
2.651256281407035,-5.199823429714244,-13.786064530237361
2.6811557788944724,-5.146601505233573,-13.798840367423985
2.71105527638191,-5.094410948592727,-13.811229682240082
2.7409547738693467,-5.0432235205004465,-13.823247584205872
2.770854271356784,-4.993011942526362,-13.834908467884604
2.800753768844221,-4.943749859829773,-13.846226052141326
2.8306532663316584,-4.895411805393291,-13.85721341697508
2.8605527638190957,-4.847973165708837,-13.867883038089225
2.8904522613065327,-4.8014101478636935,-13.878246819352746
2.92035175879397,-4.755699747974766,-13.888316123294146
2.950251256281407,-4.71081972091997,-13.898101799759369
2.9801507537688443,-4.666748551316517,-13.90761421285558
3.0100502512562817,-4.623465425697035,-13.916863266294092
3.0399497487437186,-4.580950205835596,-13.925858427237406
3.069849246231156,-4.5391834031770575,-13.934608748748063
3.099748743718593,-4.498146154324489,-13.943122890929956
3.1296482412060302,-4.457820197540855,-13.951409140846454
3.1595477386934676,-4.418187850222586,-13.959475431293725
3.1894472361809045,-4.379231987304148,-13.967329358502223
3.219346733668342,-4.340936020554138,-13.974978198834215
3.249246231155779,-4.3032838787249705,-13.982428924540532
3.279145728643216,-4.266259988519593,-13.98968821863548
3.3090452261306535,-4.229849256340152,-13.996762488944677
3.3389447236180905,-4.194037050784892,-14.003657881376991
3.368844221105528,-4.158809185860955,-14.010380292468263
3.3987437185929648,-4.1241519048821,-14.016935381241248
3.428643216080402,-4.090051865021602,-14.023328580423312
3.4585427135678395,-4.056496122491922,-14.029565107060629
