id,r,r_star,alpha,V,k_eff
0,1.4507143064099162,0.5,4.636456557183496,183.27625780593843,-5.142749173653357
0,1.501744457891672,0.5175879396984925,4.636456557183496,152.82003687500267,-5.373504115289568
0,1.5527746093734278,0.535175879396985,4.636456557183496,127.1980081671533,-5.613130097731393
0,1.6038047608551838,0.5527638190954774,4.636456557183496,105.66303989927162,-5.862892548913888
0,1.6548349123369395,0.5703517587939698,4.636456557183496,87.5819723999215,-6.124271640048912
0,1.7058650638186954,0.5879396984924623,4.636456557183496,72.41834633800836,-6.399007941627029
0,1.7568952153004513,0.6055276381909548,4.636456557183496,59.717739556635216,-6.689160251146378
0,1.807925366782207,0.6231155778894473,4.636456557183496,49.09531921331027,-6.997179567625187
0,1.858955518263963,0.6407035175879398,4.636456557183496,40.22527517169597,-7.326004744958498
0,1.9099856697457187,0.6582914572864321,4.636456557183496,32.83185091416509,-7.679187634476468
0,1.9610158212274746,0.6758793969849246,4.636456557183496,26.681730991232552,-8.061058918046955
0,2.0120459727092306,0.6934673366834171,4.636456557183496,21.577580334072195,-8.476950975163222
0,2.063076124190986,0.7110552763819095,4.636456557183496,17.352561598730375,-8.933502086556922
0,2.114106275672742,0.728643216080402,4.636456557183496,13.865682908418101,-9.439078878805633
0,2.165136427154498,0.7462311557788944,4.636456557183496,10.997850612608184,-10.004374376956351
0,2.216166578636254,0.7638190954773869,4.636456557183496,8.648520582550473,-10.643273209009065
0,2.26719673011801,0.7814070351758794,4.636456557183496,6.732857616819912,-11.374134431655724
0,2.3182268815997658,0.798994974874372,4.636456557183496,5.179326166239823,-12.221747776075283
0,2.3692570330815212,0.8165829145728642,4.636456557183496,3.927647169084249,-13.220415342676594
0,2.420287184563277,0.8341708542713567,4.636456557183496,2.9270656241499884,-14.418994314260033
0,2.471317336045033,0.8517587939698492,4.636456557183496,2.1348818838400523,-15.88952934089969
0,2.5223474875267886,0.8693467336683416,4.636456557183496,1.515206745000103,-17.742857185136078
0,2.5733776390085445,0.8869346733668341,4.636456557183496,1.0379064414881587,-20.158775660613596
0,2.6244077904903005,0.9045226130653266,4.636456557183496,0.6777087603817208,-23.449557157599802
0,2.6754379419720564,0.922110552763819,4.636456557183496,0.41344585013816737,-28.20951274108967
0,2.7264680934538124,0.9396984924623116,4.636456557183496,0.22741298013076325,-35.726293441290146
0,2.7774982449355683,0.9572864321608041,4.636456557183496,0.10482564549426764,-49.40834775145553
0,2.8285283964173242,0.9748743718592966,4.636456557183496,0.033360072979924146,-82.2077008318505
0,2.87955854789908,0.9924623115577891,4.636456557183496,0.002764443763153198,-267.9616435590299
0,2.9305886993808357,1.0100502512562815,4.636456557183496,0.004530068367548176,196.3533143839809
0,2.9816188508625916,1.0276381909547738,4.636456557183496,0.03161337845471957,69.70076726493028
0,3.032649002344347,1.0452261306532662,4.636456557183496,0.07820098383117444,41.545316585005196
0,3.083679153826103,1.0628140703517588,4.636456557183496,0.13951121771712663,29.15115708430516
0,3.134709305307859,1.0804020100502512,4.636456557183496,0.21162659060008782,22.176268820313556
0,3.185739456789615,1.0979899497487438,4.636456557183496,0.2913524196071433,17.703633344586557
0,3.236769608271371,1.1155778894472361,4.636456557183496,0.3760976189934498,14.591774405446483
0,3.2877997597531268,1.1331658291457287,4.636456557183496,0.4637742473577214,12.302228811429703
0,3.3388299112348827,1.150753768844221,4.636456557183496,0.5527129249479042,10.5477878298271
0,3.3898600627166386,1.1683417085427137,4.636456557183496,0.641591673832114,9.16124410593149
0,3.440890214198394,1.185929648241206,4.636456557183496,0.7293761066037285,8.038633692965936
0,3.49192036568015,1.2035175879396984,4.636456557183496,0.8152692057061229,7.11190825029906
0,3.542950517161906,1.221105527638191,4.636456557183496,0.8986692039292605,6.334650157233509
0,3.5939806686436615,1.2386934673366834,4.636456557183496,0.9791343043891981,5.6741031430418944
0,3.6450108201254174,1.2562814070351758,4.636456557183496,1.056353171502454,5.1064845073118015
0,3.6960409716071734,1.2738693467336684,4.636456557183496,1.1301202883329657,4.614103718239417
0,3.7470711230889293,1.291457286432161,4.636456557183496,1.2003154146548827,4.183524347415284
0,3.7981012745706852,1.3090452261306533,4.636456557183496,1.2668864979057575,3.80435370013447
0,3.8491314260524407,1.3266331658291457,4.636456557183496,1.329835489099585,3.468423545181148
0,3.9001615775341967,1.344221105527638,4.636456557183496,1.3892066004428023,3.1692220584821045
0,3.9511917290159526,1.3618090452261307,4.636456557183496,1.4450766131540849,2.9014914946999153
0,4.002221880497709,1.3793969849246233,4.636456557183496,1.49754690478795,2.6609378040086207
0,4.053252031979465,1.3969849246231159,4.636456557183496,1.5467369168642993,2.4440174733767934
0,4.10428218346122,1.414572864321608,4.636456557183496,1.592778827221888,2.247778655560477
0,4.155312334942976,1.4321608040201006,4.636456557183496,1.635813228440581,2.069741116740886
0,4.206342486424732,1.449748743718593,4.636456557183496,1.6759856449316752,1.9078043732048582
0,4.257372637906488,1.4673366834170856,4.636456557183496,1.7134437477401399,1.7601765877913875
0,4.308402789388244,1.484924623115578,4.636456557183496,1.7483351484695215,1.6253189525187146
0,4.359432940869999,1.50251256281407,4.636456557183496,1.7808056726508021,1.501901760482345
0,4.410463092351755,1.5201005025125627,4.636456557183496,1.8109980288579082,1.3887693973910455
0,4.461493243833511,1.537688442211055,4.636456557183496,1.839050803372155,1.2849122079821074
0,4.512523395315267,1.5552763819095476,4.636456557183496,1.865097721595181,1.1894437108095484
0,4.5635535467970225,1.5728643216080402,4.636456557183496,1.8892671270267956,1.1015820099633227
0,4.6145836982787785,1.5904522613065326,4.636456557183496,1.9116816367336575,1.020634526802928
0,4.665613849760534,1.6080402010050252,4.636456557183496,1.9324579390684036,0.945985377854097
0,4.71664400124229,1.6256281407035176,4.636456557183496,1.9517067051530237,0.877084876709411
0,4.767674152724046,1.6432160804020102,4.636456557183496,1.9695325904814844,0.813440752137775
0,4.818704304205802,1.6608040201005025,4.636456557183496,1.9860343070657935,0.7546107615771563
0,4.869734455687558,1.6783919597989951,4.636456557183496,2.001304749966582,0.7001964458603815
0,4.920764607169314,1.6959798994974875,4.636456557183496,2.0154311649150314,0.6498378225321004
0,4.97179475865107,1.71356783919598,4.636456557183496,2.028495346133518,0.6032088551934451
0,5.022824910132826,1.7311557788944725,4.636456557183496,2.0405738554702864,0.5600135677077691
